member,run_name,env_id,policy,lr,gamma,batch_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,total_timesteps,model_path,noted_behavior
Faly,baseline,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,100000,models\baseline\dqn_model.zip,"Mixed baseline: one run around -13 (short-medium episodes), another around -31 (poor performance)."
Faly,FalyExp2,ALE/Boxing-v5,CnnPolicy,0.001,0.99,32,1.0,0.05,0.1,100000,models\baseline\dqn_model.zip,"Likely unstable due to high learning rate; rewards inconsistent, episodes terminate quickly."
Faly,FalyExp3,ALE/Boxing-v5,CnnPolicy,1e-05,0.99,32,1.0,0.05,0.1,100000,models\FalyExp3\dqn_model.zip,"Strongly negative rewards (~-25 to -30), short episodes; agent fails to learn effective policy."
Faly,FalyExp4,ALE/Boxing-v5,CnnPolicy,0.0001,0.9,32,1.0,0.05,0.1,100000,models\FalyExp4\dqn_model.zip,"Moderately negative (~-15 to -19), episodes somewhat longer; lower gamma may reduce stability."
Faly,FalyExp5,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,32,1.0,0.05,0.1,100000,models\FalyExp5\dqn_model.zip,"Slight improvement (~-17), longer episodes; high gamma stabilizes but still negative rewards."
Faly,FalyExp6,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,16,1.0,0.05,0.1,100000,models\FalyExp6\dqn_model.zip,"Poor performance (~-30), shorter episodes; small batch size hurts stability."
Faly,FalyExp7,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,128,1.0,0.05,0.1,100000,models\FalyExp7\dqn_model.zip,"Positive rewards (~+2), longer episodes; larger batch size yields stable and successful learning."
Faly,FalyExp8,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.02,100000,models\FalyExp8\dqn_model.zip,"Negative rewards, short episodes; reduced exploration fraction limits learning."
Faly,FalyExp9,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.3,100000,models\FalyExp9\dqn_model.zip,"Strongly negative (~-34), unstable episodes; high exploration fraction prevents convergence."
Faly,FalyExp10,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,100000,models\FalyExp10\dqn_model.zip,"Similar to baseline, negative rewards, medium episodes; no significant improvement."
Nick,NickExp1_baseline,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,100000,models/NickExp1_baseline/dqn_model.zip,"Dipped to ~-30 during exploration then recovered steadily to -18.5; learns but slowly, curve still rising at cutoff."
Nick,NickExp2_lr5e-4,ALE/Boxing-v5,CnnPolicy,0.0005,0.99,32,1.0,0.05,0.1,100000,models/NickExp2_lr5e-4/dqn_model.zip,"Declined monotonically to -35.7 with no recovery; even 5x higher lr destabilizes the Q-updates, so speed cannot come from lr."
Nick,NickExp3_lr1e-5,ALE/Boxing-v5,CnnPolicy,1e-05,0.99,32,1.0,0.05,0.1,100000,models/NickExp3_lr1e-5/dqn_model.zip,Sank to ~-30 then drifted flat at -28; updates too small to recover within 100k steps. Brackets lr: 1e-4 confirmed near-optimal.
Nick,NickExp4_batch64,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,64,1.0,0.05,0.1,100000,models/NickExp4_batch64/dqn_model.zip,New best (-10.4): shallower dip (-24) and smooth near-monotonic recovery; larger batches cut gradient variance. Still rising at cutoff.
Nick,NickExp5_batch128,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,128,1.0,0.05,0.1,100000,models/NickExp5_batch128/dqn_model.zip,"Best so far and only positive run (+0.43): shallow dip then strictly monotonic climb through the whole second half, still rising steeply at cutoff. Batch settled at 128."
Nick,NickExp6_b128_g999,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.05,0.1,100000,models/NickExp6_b128_g999/dqn_model.zip,New best (+4.33): gamma 0.999 stacks with batch 128 — crossed zero earlier and climbed steadily; longer credit-assignment horizon pays off in Boxing's ~1800-step episodes.
Nick,NickExp7_epsend001,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.01,0.1,100000,models/NickExp7_epsend001/dqn_model.zip,"Worse than Exp6 (-4.34 vs +4.33, only eps_end changed): cutting the exploration floor to 1% starved the replay buffer of diverse transitions and slowed learning. Residual exploration still pays off."
Nick,NickExp8_expfrac02,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.05,0.2,100000,models/NickExp8_expfrac02/dqn_model.zip,Worse (-8.0): doubling the exploration phase delayed the learning turnaround ~15k steps and the run ran out of budget. With Exp7 this brackets epsilon: default 0.1 fraction / 0.05 floor is the sweet spot.
Nick,NickExp9_mlp,ALE/Boxing-v5,MlpPolicy,0.0001,0.999,128,1.0,0.05,0.1,100000,models/NickExp9_mlp/dqn_model.zip,MLP with identical hyperparameters to Exp6 plateaued at -28 and never recovered; flattened pixels lose all spatial structure. Controlled proof that CnnPolicy is required for Atari.
Nick,NickExp10_final200k,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.05,0.1,200000,models/NickExp10_final200k/dqn_model.zip,"Champion config at 200k steps reached only +1.02 training / -3.2 greedy eval, losing to Exp6 (+4.8 greedy): exploration_fraction is relative, so doubling steps stretched the epsilon decay and reproduced Exp8's flaw. Best model overall: Exp6."
Kayonga Elvis,Elvis_baseline_seed7,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,32,1.0,0.05,0.1,150000,models/Elvis_baseline_seed7/dqn_model.zip,"NOTE: batch_size manually reduced from planned 128 to 32 to cut runtime; not a clean seed-only comparison to Nick's champion. reward went -9.8 -> -30.3 (best -6.9), trend declining, ep_len ~1786. Much worse than Nick's champion (+4.33), suggesting batch=32 (not just seed) drove the drop, consistent with the group's batch-size trend."
Kayonga Elvis,Elvis_lr3e-4,ALE/Boxing-v5,CnnPolicy,0.0003,0.999,64,1.0,0.05,0.1,150000,models/Elvis_lr3e-4/dqn_model.zip,"NOTE: batch_size manually reduced from planned 128 to 64 to cut runtime. reward went -8.2 -> -18.2 (best -8.1), trend declining, ep_len ~1786. lr=3e-4 looks unstable/too high at this batch size, in line with Faly/Nick's higher-lr runs."
Kayonga Elvis,Elvis_lr5e-5,ALE/Boxing-v5,CnnPolicy,5e-05,0.999,64,1.0,0.05,0.1,150000,models/Elvis_lr5e-5/dqn_model.zip,"NOTE: batch_size manually reduced from planned 128 to 64 to cut runtime. reward went -8.2 -> -17.1 (best -8.1), trend declining, ep_len ~1786. Confounded by smaller batch, so this doesn't cleanly confirm/deny lr=5e-5 as a value on its own."
Kayonga Elvis,Elvisgamma90,ALE/Boxing-v5,CnnPolicy,0.0001,0.99,128,1.0,0.05,0.1,100000,models/Elvisgamma90/dqn_model.zip,Reward improved and went to 2.54
Kayonga Elvis,Elvis_gamma9999,ALE/Boxing-v5,CnnPolicy,0.0001,0.9999,128,1.0,0.05,0.1,150000,models/Elvis_gamma9999/dqn_model.zip,"reward went -8.2 -> 3.9 (best 3.9), trend improving, ep_len ~1786"
Kayonga Elvis,Elvis_batch256,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,256,1.0,0.05,0.1,150000,models/Elvis_batch256/dqn_model.zip,"reward went -8.2 -> 6.1 (best 6.1), trend improving, ep_len ~1786"
Kayonga Elvis,Elvis_epsstart05,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,0.5,0.05,0.1,150000,models/Elvis_epsstart05/dqn_model.zip,"reward went -8.2 -> 6.9 (best 6.9), trend improving, ep_len ~1786"
Kayonga Elvis,Elvis_epsend01,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.1,0.1,150000,models/Elvis_epsend01/dqn_model.zip,"reward went -8.2 -> -0.2 (best -0.2), trend improving, ep_len ~1786"
Kayonga Elvis,Elvis_expfrac005,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.05,0.05,150000,models/Elvis_expfrac005/dqn_model.zip,"reward went -8.2 -> 1.7 (best 2.1), trend improving, ep_len ~1786"
Kayonga Elvis,Elvis_targetupdate500,ALE/Boxing-v5,CnnPolicy,0.0001,0.999,128,1.0,0.05,0.1,150000,models/Elvis_targetupdate500/dqn_model.zip,"reward went -8.2 -> -27.0 (best -8.1), trend declining, ep_len ~1786"

